|Raison Sociale|Adresses|Telephone
35|Margerit multi-services|Pizay 42400 SAINT CHAMOND|07 71 94 52 20
36|Adf artisan de france|285 rte dauphiné 38630 AVENIÈRES VEYRINS THUELLIN (LES)|06 18 12 85 63
37|Abc abri blindage|30 quai doct gailleton 69002 LYON|04 78 05 04 31
38|Chevalier frères|6 r de la madeleine 69007 LYON|04 72 13 06 06
39|Confort & sécurité|143 av mar de saxe 69003 LYON|06 15 98 91 33
40|Serrurerie a2s drouard|49 r macornet 73000 CHAMBÉRY|04 79 33 33 57
41|Art et fermetures|12 r marc bloch 69007 LYON|04 72 72 91 91
42|La clef tournonaise|1 av mar foch 07300 TOURNON SUR RHÔNE|04 27 66 97 13
43|Cordonnerie des gratte ciel|79 r anatole france 69100 VILLEURBANNE|06 60 88 65 35
44|Clôture feyzinoise|14 r hector berlioz 69320 FEYZIN|06 62 71 42 95
45|Adf artisan de france|285 rte dauphiné 38630 AVENIÈRES VEYRINS THUELLIN (LES)|06 18 12 85 63
46|Paradis en fer|525 rte nationale 6 69380 DOMMARTIN|04 72 54 40 10
47|Fer et défaire|24 montée nid 38300 BOURGOIN JALLIEU|06 45 71 74 10
48|Allo artisan assistance beautiful clé aaabc|12 r jeu de paume 26300 BOURG DE PÉAGE|04 75 72 47 88
49|Ads 38|95 rte traverse 38430 MOIRANS|06 27 17 66 65
50|Alpes serrures|9 r anne franck 38400 SAINT MARTIN D'HÈRES|06 99 08 88 89
51|Serrurerie générale moiroud|7 av catelines 69720 SAINT LAURENT DE MURE|04 78 40 83 49
52|Ags dépannage|18 r tuilerie 38170 SEYSSINET PARISET|04 76 70 30 80
53|Ab confiance|245 r paul bert 69003 LYON|04 72 35 11 73
54|Entreprise lyonnaise de bat carmia|46 bis r marcelin berthelot 69120 VAULX EN VELIN|04 72 32 24 07
55|Confort & sécurité|143 av mar de saxe 69003 LYON|06 15 98 91 33
56|Building service|11 r georges bernard 26100 ROMANS SUR ISÈRE|06 38 03 30 85
57|Margerit multi-services|Pizay 42400 SAINT CHAMOND|07 71 94 52 20
58|Asymetrix|30 bis rte charly 69230 SAINT GENIS LAVAL|04 78 56 26 09
59|Serrurerie albert thomas|50 cours tolstoï 69100 VILLEURBANNE|04 78 84 24 71
60|Ab confiance|245 r paul bert 69003 LYON|04 72 35 11 73
61|Vassy jean jacques|155 chem côteau 26750 SAINT PAUL LÈS ROMANS|04 75 71 43 73
62|Confort & sécurité|143 av mar de saxe 69003 LYON|06 15 98 91 33
63|Adf artisan de france|285 rte dauphiné 38630 AVENIÈRES VEYRINS THUELLIN (LES)|06 18 12 85 63
64|Mathieu sarl|20 r berjon 69009 LYON|04 72 18 96 99
65|Serrurerie albert thomas|50 cours tolstoï 69100 VILLEURBANNE|04 78 84 24 71
66|Absolu fermetures et securité|68 av félix faure 69003 LYON|04 37 57 70 00
67|Cordonnerie des gratte ciel|79 r anatole france 69100 VILLEURBANNE|06 60 88 65 35
68|Revenu dominique sarl|9 quai bourbre 38300 BOURGOIN JALLIEU|04 74 97 41 76
69|Serrurerie roland|149 cours doct long 69003 LYON|06 68 67 65 65
70|Dsbc serrurier|23 all clos de syrah 26600 LA ROCHE DE GLUN|06 08 45 64 40
71|Acces l'|76 r eugène pons 69004 LYON|04 78 39 18 18
72|Vellay jerome|Chem poterie 38300 RUY MONTCEAU|06 25 27 00 95
73|Fer envies|20 bis r barnave 38400 SAINT MARTIN D'HÈRES|06 60 32 93 70
74|Home services|29 r antoine vacher 69330 MEYZIEU|07 61 45 01 07
75|Laadam serrurerie fermeture|77 r echasse 38070 SAINT QUENTIN FALLAVIER|06 50 13 05 01
76|Constr metall serrur generale m sorgue|24 r hugues guérin 69008 LYON|04 78 74 13 04
77|Picard dépannage kéléchian sarl|10 pl carmes 38200 VIENNE|04 74 85 74 69
78|A.m.f|8 r joseph cugnot 38300 BOURGOIN JALLIEU|04 76 46 11 11
79|Chiron ponson sarl|20 r marais 26260 SAINT DONAT SUR L'HERBASSE|04 75 45 16 85
80|Serrurrerie arnaud-chanut sarl|75 r joseph moulin 69290 CRAPONNE|04 78 81 24 16
81|Serrurerie bl|80 rte coin 42400 SAINT CHAMOND|04 77 46 18 59
82|Guinet services stop guêpes|1354 rte montagne 38850 PALADRU|04 76 37 15 22
83|Dsbc serrurier|23 all clos de syrah 26600 LA ROCHE DE GLUN|06 08 45 64 40
84|Falcoz jean luc|39 r aristide briand 38490 ABRETS EN DAUPHINÉ (LES)|06 26 98 88 78
85|Osv serrurier vitrier lyon|33 r république 69002 LYON|06 84 94 43 95
86|Home services|29 r antoine vacher 69330 MEYZIEU|07 61 45 01 07
87|Laadam serrurerie fermeture|77 r echasse 38070 SAINT QUENTIN FALLAVIER|06 50 13 05 01
88|Sylvestre serrurerie|10 pl libération 73190 CHALLES LES EAUX|06 43 63 99 69
89|Déco fusion|18 av marcellin berthelot 38200 VIENNE|06 51 04 59 33
90|Gervason fermetures dépannage et urgence|17 bd colonne 73000 CHAMBÉRY|06 13 68 36 26
91|Chevalier frères|54 r paul verlaine 69100 VILLEURBANNE|06 13 04 02 22
92|Chiron ponson sarl|20 r marais 26260 SAINT DONAT SUR L'HERBASSE|04 75 45 16 85
93|Revenu dominique sarl|9 quai bourbre 38300 BOURGOIN JALLIEU|04 74 97 41 76
94|Fer envies|20 bis r barnave 38400 SAINT MARTIN D'HÈRES|06 60 32 93 70
95|A.m.f|8 r joseph cugnot 38300 BOURGOIN JALLIEU|04 76 46 11 11
96|A2+ dépannage|61 r anatole france 69100 VILLEURBANNE|04 72 40 40 39
97|M.s.i.|Zi verchères 38540 SAINT JUST CHALEYSSIN|06 60 05 70 49
98|Fontbonne et fils|57 r emile zola 69150 DÉCINES CHARPIEU|04 78 49 06 98
99|Lyon métal|11 r marius berliet 69720 SAINT BONNET DE MURE|04 30 22 04 38
100|Osv serrurier vitrier lyon|33 r république 69002 LYON|06 84 94 43 95
101|Sylvestre serrurerie|10 pl libération 73190 CHALLES LES EAUX|06 43 63 99 69
102|Chiron ponson sarl|20 r marais 26260 SAINT DONAT SUR L'HERBASSE|04 75 45 16 85
103|Faac la clé lyonnaise|68 bd brotteaux 69006 LYON|04 78 52 80 89
104|Fer envies|20 bis r barnave 38400 SAINT MARTIN D'HÈRES|06 60 32 93 70
105|Devaux fillard habitat|86 r dent du chat 73420 VOGLANS|04 79 52 04 10
106|Bricard|17 r gerland 69007 LYON|04 78 58 96 74
107|Soud-inox eurl|Le flacher 07340 FÉLINES|04 75 33 26 38
108|2m serrurerie|1608 rte lyon 07430 DAVÉZIEUX|04 75 32 11 34
109|Colomb métallerie|30 r jules duclos 42400 SAINT CHAMOND|06 81 33 04 73
110|Courtial mdi|27 r république 42400 SAINT CHAMOND|04 77 22 04 11
111|Bourret devillers serrurerie|33 av gén leclerc 69300 CALUIRE ET CUIRE|06 13 22 81 81
112|Abatis sarl|52 r thiers 38000 GRENOBLE|04 76 46 26 20
113|Md multiservices dépannage|505 rte romans 26600 CHANOS CURSON|06 59 74 25 07
114|Tfb 2000|4 r provence 38130 ECHIROLLES|04 38 49 81 81
115|Art de fer de la roche|33 rte paris 69260 CHARBONNIÈRES LES BAINS|06 15 93 22 81
116|Charnin eurl|3 all lavandes 69160 TASSIN LA DEMI LUNE|07 82 21 95 71
117|Unimate (sas)|18 chem aigais 69530 BRIGNAIS|04 78 05 18 66
118|Giraud - laurent|12 av nord 69160 TASSIN LA DEMI LUNE|06 75 03 06 48
119|Multi service dépannage 38|21 r lieut chabal 38100 GRENOBLE|06 99 05 55 06
120|Abatis sarl|52 r thiers 38000 GRENOBLE|04 76 46 26 20
121|Nivolas services|79 pass glycines 38300 NIVOLAS VERMELLE|04 74 90 54 70
122|Monsieur serge gonzalez|114 av gén frère 69008 LYON|04 78 75 63 53
123|Unimate (sas)|18 chem aigais 69530 BRIGNAIS|04 78 05 18 66
124|Tfb 2000|4 r provence 38130 ECHIROLLES|04 38 49 81 81
125|Ateliers cornu sarl|10 av lyon 07300 TOURNON SUR RHÔNE|04 75 08 20 03
126|Gandelli jean-loup|41 chem rocher 73410 ENTRELACS|06 75 32 82 55
127|Charnin eurl|3 all lavandes 69160 TASSIN LA DEMI LUNE|07 82 21 95 71
128|Valette metallerie serrurerie sarl|26 av jean jaurès 26600 TAIN L'HERMITAGE|04 75 08 22 93
129|Multi service dépannage 38|21 r lieut chabal 38100 GRENOBLE|06 99 05 55 06
130|Md multiservices dépannage|505 rte romans 26600 CHANOS CURSON|06 59 74 25 07
131|Luc martin sas|43 r vivarais 26320 SAINT MARCEL LÈS VALENCE|04 75 55 03 32
132|Ferronnerie-serrurerie ragot|109 grande rue 69390 VERNAISON|06 16 96 15 94
133|Charly serrurerie|Zone artisanale ila 38220 LIVET|04 76 78 62 55
134|Mr serrurier|53 d r hermières 69340 FRANCHEVILLE|06 51 23 34 70
135|Bricard|17 r gerland 69007 LYON|04 78 58 96 74
136|La maison de la cle|4 pl tobie robatel 69001 LYON|06 14 20 87 73
137|Metallerie serrurerie pascal pugnet|19 r louvasset 38500 VOIRON|04 76 67 44 33
138|Ferosteel|286 chem cruet 73420 DRUMETTAZ CLARAFOND|07 82 79 29 88
139|Devaux fillard habitat|86 r dent du chat 73420 VOGLANS|04 79 52 04 10
140|Métaligne|Zone d'activite beauregard 26300 CHÂTEAUNEUF SUR ISÈRE|04 75 05 26 47
141|Colomb métallerie|30 r jules duclos 42400 SAINT CHAMOND|06 81 33 04 73
142|Zabatta eurl|664 rte st quentin 38210 TULLINS|04 76 07 87 89
143|Nivolas services|79 pass glycines 38300 NIVOLAS VERMELLE|04 74 90 54 70
144|Manchon métal services|1201 av prés seigneurs 01120 DAGNEUX|06 25 14 90 01
145|Valente metallerie|3 r pierre devaux 69360 SÉRÉZIN DU RHÔNE|04 72 53 95 42
146|Serrurerie croix roussienne distrib serrurerie|127 bd croix rousse 69004 LYON|04 78 39 12 54
147|Serrurerie metal du batiment|Zone artisanale bièvre dauphine 38690 COLOMBE|09 63 26 65 63
148|Serrurerie fidesienne sarl|6 all claude bachelard 69110 SAINTE FOY LÈS LYON|04 78 25 65 82
149|Gilles boyer|314 r jules ferry 38220 VIZILLE|06 61 70 27 58
150|Tordjman|46 r jean zay 69800 SAINT PRIEST|04 72 89 83 00
151|King plomberie|35 r alfred brinon 69100 VILLEURBANNE|04 26 25 03 03
152|Jacolin franck|19 rte beaurepaire 38260 POMMIER DE BEAUREPAIRE|04 74 54 21 19
153|Payen montage bâtiments industriels pmbi|216 chem bagatelle 38380 SAINT LAURENT DU PONT|04 76 32 82 71
154|Cordonnerie de la voute|12 r madeleine 69007 LYON|06 21 13 25 56
155|Menuiserie muet sarl|51 rte grenoble 38300 BOURGOIN JALLIEU|04 74 93 08 74
156|Rojon sarl|Zone artisanale 38530 BARRAUX|04 76 97 38 83
157|Lagrasta salvator|6 imp georges bizet 38190 FROGES|04 76 71 38 92
158|Serrurerie monthioux|56 r auguste comte 69002 LYON|04 78 37 09 33
159|Lopez|21 r denis papin 38800 LE PONT DE CLAIX|04 76 98 00 08
160|Menuiserie vairai|370 av georges et louis frèrejean 38780 PONT EVÊQUE|04 74 16 07 75
161|Deygas automatisme|2060 la ratte 26600 CHANTEMERLE LES BLÉS|06 62 04 84 35
162|Entreprise meliodon farec fabrication sa|67 r raulin 69007 LYON|04 72 60 86 94
163|Serrurerie dorier|6 r françois genin 69005 LYON|06 85 83 70 01
164|Société construction rosi artisanat|12 r lavoir 26300 BESAYES|04 75 47 42 86
165|Serrurerie fidesienne sarl|6 all claude bachelard 69110 SAINTE FOY LÈS LYON|04 78 25 65 82
166|Manchon métal services|1201 av prés seigneurs 01120 DAGNEUX|06 25 14 90 01
167|Keo sarl|3 r boyd 73100 AIX LES BAINS|09 73 64 72 80
168|Métal'art|1 r constant berthet 26190 SAINT JEAN EN ROYANS|04 69 28 58 28
169|Action plus|20 pl europe 38500 VOIRON|04 76 31 03 10
170|Serrurerie croix roussienne distrib serrurerie|127 bd croix rousse 69004 LYON|04 78 39 12 54
171|Tordjman|46 r jean zay 69800 SAINT PRIEST|04 72 89 83 00
172|Chamblas menuiserie & serrurerie|147 av marcel mérieux 69530 BRIGNAIS|04 26 18 71 56
173|Jacolin franck|19 rte beaurepaire 38260 POMMIER DE BEAUREPAIRE|04 74 54 21 19
174|Martin g sarl|319 r laverlochère 38780 PONT EVÊQUE|04 74 16 17 77
175|Métallerie rolland|5 chem champagneux 38300 BOURGOIN JALLIEU|04 74 93 30 30
176|Grillon alain sarl|39 bd schweighouse 69530 BRIGNAIS|04 78 05 21 34
177|Aurel multiservices|24 r verdun 26240 SAINT VALLIER|04 75 03 78 53
178|Serrurerie ferronnerie boret|12 rte anneyron 26140 SAINT RAMBERT D'ALBON|04 75 31 24 13
179|Durussel ets|3 r gustave eiffel 69360 SAINT SYMPHORIEN D'OZON|04 78 20 53 11
180|Sarl thierry martinet sarl|12 r fleurs 69500 BRON|04 78 26 61 63
181|Vert daniel et fils|5 pl de l'eglise 07410 COLOMBIER LE VIEUX|04 75 06 70 04
182|Aurel multiservices|24 r verdun 26240 SAINT VALLIER|04 75 03 78 53
183|Ha serrurerie metallerie|70 r pré magne 69126 BRINDAS|06 86 32 10 19
184|Société construction rosi artisanat|12 r lavoir 26300 BESAYES|04 75 47 42 86
185|Serrurerie metal du batiment|Zone artisanale bièvre dauphine 38690 COLOMBE|09 63 26 65 63
186|S t c serrurerie tôlerie chaudronnerie|4 all gève 38600 FONTAINE|04 76 26 08 25
187|Marion constructions métalliques sas|2054 rte varacieux 38470 VINAY|04 76 36 62 97
188|Tochon sarl|450 r briquerie 73290 LA MOTTE SERVOLEX|04 79 25 48 55
189|Bansac quentin|5 r pierres plantées 38090 VAULX MILIEU|06 64 36 37 03
190|Entreprise meliodon farec fabrication sa|67 r raulin 69007 LYON|04 72 60 86 94
191|Métal'art|1 r constant berthet 26190 SAINT JEAN EN ROYANS|04 69 28 58 28
192|Michel thomas serrurerie|157 bis chem bas lieudieu 38440 LIEUDIEU|06 33 53 33 17
193|A la clef delsol|45 chem du pont rouge 38300 SAINT SAVIN|04 74 18 59 80
194|Noble acier|49 chem ardelieres 38590 BRÉZINS|04 76 06 21 54
195|Serrurerie fidesienne sarl|6 all claude bachelard 69110 SAINTE FOY LÈS LYON|04 78 25 65 82
196|Métallerie rolland|5 chem champagneux 38300 BOURGOIN JALLIEU|04 74 93 30 30
197|Au tour de clé|11 r bonneton 69530 BRIGNAIS|04 78 05 26 06
198|Cordonnerie mercière|13 r mercière 69002 LYON|04 78 37 85 04
199|Isothentik|153 av petit port 73100 AIX LES BAINS|06 84 33 66 93
200|Tordjman|46 r jean zay 69800 SAINT PRIEST|04 72 89 83 00
201|Asm atelier serrurerie métallerie|166 r gén borson 73000 CHAMBÉRY|04 79 85 76 28
202|Serrurerie des buclos|25 chem chaumetière 38240 MEYLAN|04 76 90 08 44
203|Valente metallerie|3 r pierre devaux 69360 SÉRÉZIN DU RHÔNE|04 72 53 95 42
204|A.m.s.d|940 rte alpes 38260 SAINT HILAIRE DE LA CÔTE|04 74 54 61 69
205|Payen montage bâtiments industriels pmbi|216 chem bagatelle 38380 SAINT LAURENT DU PONT|04 76 32 82 71
206|Noble acier|49 chem ardelieres 38590 BRÉZINS|04 76 06 21 54
207|Brunet fermetures|117 av franklin roosevelt 69500 BRON|04 72 74 19 61
208|Multiservices chamberiens|20 bd colonne 73000 CHAMBÉRY|04 79 75 11 10
209|Berier et fils|1745 quai rhône 01700 MIRIBEL|04 78 55 31 39
210|Lagrasta salvator|6 imp georges bizet 38190 FROGES|04 76 71 38 92
211|Lyon protection habitat|128 rte vienne 69008 LYON|04 87 25 45 07
212|Jeanto entreprise|3 r jules vercherin 69007 LYON|06 08 86 71 71
213|Stid|500 parc activités ruisset 38360 NOYAREY|04 76 26 51 41
214|Aurel multiservices|24 r verdun 26240 SAINT VALLIER|04 75 03 78 53
215|Atelier du métallier l' - eurl|38 r galliéni 42400 SAINT CHAMOND|04 77 22 56 37
216|Serrurerie dorier|6 r françois genin 69005 LYON|06 85 83 70 01
217|Scat sarl|2 r bois pilon 38550 LE PÉAGE DE ROUSSILLON|04 74 29 98 80
218|Gilles boyer|314 r jules ferry 38220 VIZILLE|06 61 70 27 58
219|Jacolin franck|19 rte beaurepaire 38260 POMMIER DE BEAUREPAIRE|04 74 54 21 19
220|Cordonnerie de la voute|12 r madeleine 69007 LYON|06 21 13 25 56
221|Marion constructions métalliques sas|2054 rte varacieux 38470 VINAY|04 76 36 62 97
222|Michel thomas serrurerie|157 bis chem bas lieudieu 38440 LIEUDIEU|06 33 53 33 17
223|Vgms-venet galifet metal s|169 chem fouilleux 38440 BEAUVOIR DE MARC|06 81 75 05 60
224|Serrurerie métallerie chaudronnerie tomassetto sarl|Zi baronnie 73330 LE PONT DE BEAUVOISIN|04 76 32 85 46
225|Blanc metal et automatisme|La plaine st joseph 42800 SAINT MARTIN LA PLAINE|04 77 75 48 10
226|Phm metal|4 av gén de gaulle 38800 LE PONT DE CLAIX|04 76 40 98 13
227|L atelier metal|11 chem meannes 26540 MOURS SAINT EUSÈBE|04 75 72 58 86
228|Dupuis serrurerie|R folletière 69700 CHASSAGNY|06 85 77 17 27
229|Sas bat metal soudure|3 lot allées des gabettes 26140 SAINT RAMBERT D'ALBON|06 71 08 63 63
230|Delin serrurerie vitrerie|84 r république 42400 SAINT CHAMOND|06 73 28 78 47
231|Avenir métal|Zone artisanale 4 vies 38290 FRONTONAS|04 74 99 07 07
232|Serrurier avenir bati'expert|54 chem pras 69350 LA MULATIÈRE|04 74 03 26 22
233|A.c.m.t.s atelier constructions métalliques tôlerie serrurerie|24 r commdt lenoir 38600 FONTAINE|09 82 26 54 18
234|Serrurerie f prisset et fils|187 av st simond 73100 AIX LES BAINS|04 79 35 18 72
235|Lebigot damien|19 rte vienne 38090 VAULX MILIEU|06 98 79 67 05
236|Pro métallerie brullioloise|Lieu-dit vaux 69690 BRULLIOLES|06 09 45 06 51
237|Tc ferro|Imp des prés muriers 73100 GRÉSY SUR AIX|06 18 40 45 49
238|Covermetal|R marais 73190 CHALLES LES EAUX|04 79 72 90 90
239|Serrurerie métallerie chaudronnerie tomassetto sarl|Zi baronnie 73330 LE PONT DE BEAUVOISIN|04 76 32 85 46
240|Laurent robert|2 r source 69160 TASSIN LA DEMI LUNE|04 78 33 38 15
241|Portail artisanal sous traitance industrielle|9 imp marie curie 26100 ROMANS SUR ISÈRE|04 75 02 37 03
242|Bonin sas|645 rte bougie 38780 ESTRABLIN|04 74 85 93 40
243|Eric besson|68 av république 38130 ECHIROLLES|04 38 49 96 40
244|Blanchet groupe|R chapelle d'yvours 69540 IRIGNY|04 77 96 82 30
245|Real ' metal 43 sasu|Zi la guide 43200 YSSINGEAUX|06 26 01 20 23
246|Opening|3 imp sablon 38300 BOURGOIN JALLIEU|07 71 86 00 51
247|Diprometal|6 chem grange blanche 69960 CORBAS|04 72 50 70 17
248|Morel (sarl)|134 r jacquard 38630 AVENIÈRES VEYRINS THUELLIN (LES)|04 74 33 74 41
249|La clé de lyon|38 pl pavillons 69007 LYON|07 61 45 64 58
250|Pb concept|205 r briquerie 73290 LA MOTTE SERVOLEX|06 71 47 60 33
251|La forge de chartreuse|745 rte grenoble 38500 COUBLEVIE|04 76 05 31 00
252|Clerc jérôme|Pierre grosse 73190 APREMONT|04 79 28 31 00
253|Pro métallerie brullioloise|Lieu-dit vaux 69690 BRULLIOLES|06 09 45 06 51
254|Votre serrurier lyonnais|63 r andré bollier 69007 LYON|04 69 96 58 59
255|Jacquet benjamin|51 r monts d'or 69290 SAINT GENIS LES OLLIÈRES|04 78 48 98 05
256|Serrurier avenir bati'expert|54 chem pras 69350 LA MULATIÈRE|04 74 03 26 22
257|D.l.e|228 r sources 38920 CROLLES|04 76 40 18 32
258|Votre serrurier lyonnais|63 r andré bollier 69007 LYON|04 69 96 58 59
259|Tarres sas|Ham plaines 69850 SAINT MARTIN EN HAUT|04 78 48 63 07
260|Garcin dominique|R jean baptiste garcin 38430 SAINT JEAN DE MOIRANS|04 76 35 01 98
261|Serrurerie et mecanosoudure diet|Zone artisanale 38520 LE BOURG D'OISANS|04 76 80 24 40
262|Acsa serrurerie|1 r quatre fontaines 69720 SAINT BONNET DE MURE|06 21 78 57 76
263|Serrurerie metallerie du val d'ouest|38 quai arloing 69125 LYON SAINT EXUPÉRY AÉROPORT|06 21 92 38 05
264|Fer des alpes|8 r alphonse allaman 38500 VOIRON|06 50 78 88 43
265|Ferronnerie maira (sarl)|1 zone artisanale pré de la barre 38440 SAINT JEAN DE BOURNAY|06 44 14 39 17
266|Trillat sarl|65 chem plateau 38270 BEAUREPAIRE|04 74 84 63 56
267|Cteg|7 rte rive de gier 69700 SAINT ROMAIN EN GIER|04 72 24 59 04
268|Jacquet benjamin|51 r monts d'or 69290 SAINT GENIS LES OLLIÈRES|04 78 48 98 05
269|Serrurerie f prisset et fils|187 av st simond 73100 AIX LES BAINS|04 79 35 18 72
270|Pro métallerie brullioloise|Lieu-dit vaux 69690 BRULLIOLES|06 09 45 06 51
271|Pms hernandez|1431 rte nationale 75 38490 ABRETS EN DAUPHINÉ (LES)|06 21 92 12 96
272|Edifices sas|95 chem moly 69230 SAINT GENIS LAVAL|04 75 79 90 40
273|Metallerie elm|379 r mas de joug 38460 DIZIMIEU|04 74 90 68 43
274|Farizon jean-michel serrurerie ferronnerie|Jaloine 07290 SAINT ROMAIN D'AY|04 75 34 51 69
275|Bonin sas|645 rte bougie 38780 ESTRABLIN|04 74 85 93 40
276|Opening|3 imp sablon 38300 BOURGOIN JALLIEU|07 71 86 00 51
277|Les clés du lac|7 av marlioz 73100 AIX LES BAINS|04 79 54 01 79
278|S.e serrurerie perrin|32 r jacquard 38100 GRENOBLE|04 76 68 13 09
279|Bonin sas|645 rte bougie 38780 ESTRABLIN|04 74 85 93 40
280|Jbt métal création|109 lot grande terre 38570 TENCIN|06 02 36 85 73
281|Diprometal|6 chem grange blanche 69960 CORBAS|04 72 50 70 17
282|Farizon jean-michel serrurerie ferronnerie|Jaloine 07290 SAINT ROMAIN D'AY|04 75 34 51 69
283|D.l.e|228 r sources 38920 CROLLES|04 76 40 18 32
284|Serrurerie ferronnerie martinez|60 r gaston duclos 07100 ANNONAY|06 66 36 87 40
285|Pb concept|205 r briquerie 73290 LA MOTTE SERVOLEX|06 71 47 60 33
286|Phm metal|4 av gén de gaulle 38800 LE PONT DE CLAIX|04 76 40 98 13
287|Bonne thierry|285 rte dauphiné 38630 AVENIÈRES VEYRINS THUELLIN (LES)|04 74 27 67 40
288|Pms hernandez|1431 rte nationale 75 38490 ABRETS EN DAUPHINÉ (LES)|06 21 92 12 96
289|Serrurerie et mecanosoudure diet|Zone artisanale 38520 LE BOURG D'OISANS|04 76 80 24 40
290|T champin eurl|36 rte poncin 38550 AUBERIVES SUR VARÈZE|04 74 79 97 72
291|Serrurerie du royans|3 les dodoux 26190 SAINT JEAN EN ROYANS|04 75 47 72 92
292|Serrurerie f prisset et fils|187 av st simond 73100 AIX LES BAINS|04 79 35 18 72
293|Sas bat metal soudure|3 lot allées des gabettes 26140 SAINT RAMBERT D'ALBON|06 71 08 63 63
294|Cochet jean-pierre|Chazey 01300 CHAZEY BONS|04 79 81 59 78
295|Cstg developpement|78 rte ruisset 38360 NOYAREY|04 38 86 21 81
296|Cj metal|50 chem contour 38260 LE MOTTIER|04 74 87 22 81
297|Real ' metal 43 sasu|Zi la guide 43200 YSSINGEAUX|06 26 01 20 23
298|Bouchard jean|130 rte yenne 73240 SAINT GENIX SUR GUIERS|04 76 31 82 92
299|Serrurerie massardier|26 r georges clemenceau 69660 COLLONGES AU MONT D'OR|04 78 22 78 19
300|Allo serrurier ardechois a.s.a|37 r boissy d'anglas 07100 ANNONAY|07 61 43 84 71
301|Vgms-venet galifet metal s|169 chem fouilleux 38440 BEAUVOIR DE MARC|06 81 75 05 60
302|Acsa serrurerie|1 r quatre fontaines 69720 SAINT BONNET DE MURE|06 21 78 57 76
303|Morel (sarl)|134 r jacquard 38630 AVENIÈRES VEYRINS THUELLIN (LES)|04 74 33 74 41
304|Declercq françois|265 rte pilon 69360 SOLAIZE|06 03 52 24 69
305|Serrurerie et mecanosoudure diet|Zone artisanale 38520 LE BOURG D'OISANS|04 76 80 24 40
306|Poirot sarl|Zone d'activité de sernier 26240 CLAVEYSON|04 75 68 82 63
307|Delin serrurerie vitrerie|84 r république 42400 SAINT CHAMOND|06 73 28 78 47
308|Alp'serrurerie|386 r concorde 73490 LA RAVOIRE|06 67 74 93 05
309|Etablissements jean et cie|8 av chantereine 38300 BOURGOIN JALLIEU|04 74 28 46 13
310|Aubert assistance|152 av paul marcellin 69120 VAULX EN VELIN|04 44 05 30 16
